variation,gender
Test,U
Test,M
Control,M
Test,U
Control,U
Test,F
Test,F
Control,M
Test,U
Control,U
Test,M
Test,F
Control,F
Test,M
Control,U
Control,F
Test,F
Test,U
Test,U
Test,M
Control,M
Test,M
Test,U
Test,U
Control,F
Test,F
Test,F
Control,U
Test,M
Control,F
Test,M
Control,F
Test,F
Test,M
Test,F
Test,M
Control,M
Test,M
Control,M
Control,M
Control,M
Test,U
Test,U
Control,M
Test,U
Control,M
Control,U
Test,F
Test,F
Control,U
Test,M
Test,M
Test,M
Control,U
Test,U
Test,F
Test,M
Control,U
Control,U
Test,U
Control,U
Control,U
Control,U
Test,M
Control,U
Control,U
Control,M
Control,U
Control,F
Test,U
Test,U
Control,F
Control,M
Test,U
Test,F
Control,F
Control,F
Test,U
Control,U
Test,U
Test,F
Control,F
Test,M
Test,M
Control,F
Test,U
Control,F
Control,U
Control,F
Test,U
Test,M
Control,U
Control,M
Test,U
Test,M
Test,U
Control,U
Control,M
Test,F
Test,F
Control,U
Test,U
Test,F
Control,F
Test,U
Test,M
Control,M
Test,M
Test,M
Control,F
Test,M
Test,M
Test,U
Test,M
Control,F
Test,U
Test,M
Control,F
Test,F
Control,M
Control,F
Test,U
Test,U
Control,U
Control,U
Test,M
Test,F
Control,F
Test,U
Control,M
Control,U
Control,F
Control,U
Test,U
Test,U
Control,U
Control,F
Control,U
Test,F
Test,F
Test,F
Test,U
Test,F
Test,U
Control,M
Control,U
Control,U
Control,M
Control,M
Control,M
Test,F
Test,F
Control,F
Test,U
Control,U
Test,U
Test,M
Control,U
Control,F
Test,U
Control,F
Control,F
Control,M
Control,U
Test,F
Control,M
Test,M
Test,M
Test,M
Test,F
Control,F
Test,M
Control,U
Control,U
Test,M
Control,F
Control,M
Test,U
Control,U
Test,M
Test,F
Control,U
Test,M
Test,F
Control,F
Test,F
Test,U
Test,M
Control,F
Test,F
Test,M
Control,F
Control,U
Test,U
Test,M
Test,U
Control,U
Control,U
Test,M
Control,F
Test,U
Test,U
Test,M
Test,M
Control,M
Control,F
Control,F
Test,U
Control,M
Control,M
Test,U
Test,U
Control,F
Control,M
Test,M
Test,U
Test,U
Test,M
Test,U
Test,U
Control,F
Test,F
Test,M
Test,U
Test,F
Test,F
Test,F
Control,U
Test,U
Test,M
Test,M
Test,M
Test,U
Control,F
Control,F
Test,M
Control,F
Test,U
Control,M
Test,F
Test,U
Control,F
Test,U
Test,F
Control,F
Test,F
Test,F
Test,U
Test,M
Control,M
Control,U
Control,F
Test,M
Test,U
Control,M
Control,F
Control,M
Test,U
Test,M
Test,U
Test,F
Control,F
Control,M
Control,F
Test,U
Test,M
Control,M
Control,M
Test,U
Control,U
Control,U
Control,U
Control,F
Control,M
Test,M
Control,M
Test,F
Control,M
Control,U
Test,U
Control,M
Test,U
Test,F
Test,F
Control,F
Control,M
Control,F
Test,M
Control,F
Control,M
Test,U
Test,U
Control,F
Control,U
Control,M
Test,F
Test,M
Control,U
Test,U
Control,F
Control,U
Test,M
Control,M
Control,M
Control,M
Test,U
Test,M
Test,U
Test,F
Test,U
Control,F
Control,U
Control,F
Control,U
Control,F
Control,U
Test,U
Test,U
Test,U
Test,F
Test,U
Test,M
Test,U
Test,F
Test,U
Control,U
Test,U
Control,M
Test,U
Test,F
Control,U
Test,F
Test,U
Test,M
Control,M
Control,U
Test,U
Control,U
Test,F
Test,F
Test,U
Control,U
Test,U
Test,M
Test,U
Control,F
Test,U
Control,M
Test,M
Test,F
Control,U
Test,F
Test,U
Control,F
Control,F
Control,F
Control,U
Control,U
Control,F
Control,U
Test,M
Test,M
Test,F
Test,M
Control,M
Test,U
Test,F
Test,F
Test,M
Test,M
Control,U
Test,F
Test,M
Test,U
Control,F
Control,U
Test,U
Control,M
Test,M
Test,M
Control,F
Control,U
Test,F
Test,U
Test,F
Test,M
Test,M
Test,U
Test,F
Test,U
Control,F
Control,U
Test,M
Test,M
Test,M
Test,F
Test,F
Test,M
Control,M
Control,M
Control,U
Test,F
Control,F
Test,M
Test,F
Control,M
Control,F
Test,F
Test,U
Test,F
Test,U
Control,U
Test,F
Test,M
Test,M
Test,M
Control,U
Control,F
Test,U
Control,F
Test,U
Control,M
Control,U
Control,F
Test,F
Control,M
Control,F
Control,U
Test,F
Control,F
Control,U
Control,U
Control,U
Control,F
Test,M
Test,U
Test,U
Test,F
Test,F
Control,M
Test,F
Test,M
Test,M
Test,F
Test,U
Test,M
Control,U
Test,M
