balance,balance_thousands,age,accounts,tenure_year,calls_semester,logons_semester
189023.86,189.02,79.0,2.0,5.0,1.0,4.0
36001.9,36.0,34.5,2.0,22.0,5.0,8.0
142642.26,142.64,63.5,2.0,12.0,5.0,8.0
30231.76,30.23,44.5,2.0,6.0,1.0,4.0
34254.54,34.25,29.0,2.0,5.0,0.0,3.0
46131.19,46.13,27.0,2.0,11.0,1.0,4.0
192109.59,192.11,53.5,2.0,21.0,6.0,9.0
324712.88,324.71,56.5,2.0,13.0,4.0,7.0
60274.39,60.27,32.5,2.0,6.0,1.0,4.0
39795.28,39.8,61.5,2.0,6.0,1.0,4.0
89161.52,89.16,38.0,2.0,15.0,6.0,9.0
68259.87,68.26,66.5,2.0,11.0,2.0,6.0
33807.15,33.81,32.5,2.0,12.0,1.0,4.0
69476.89,69.48,44.5,2.0,10.0,1.0,4.0
72032.56,72.03,36.5,2.0,6.0,1.0,4.0
33673.83,33.67,61.5,2.0,5.0,1.0,4.0
99180.12,99.18,65.5,2.0,29.0,6.0,9.0
99670.69,99.67,57.5,2.0,22.0,3.0,6.0
767141.47,767.14,38.5,3.0,7.0,2.0,5.0
1219029.31,1219.03,54.5,4.0,29.0,4.0,7.0
115254.03,115.25,58.5,2.0,16.0,6.0,9.0
88607.54,88.61,46.5,3.0,28.0,6.0,9.0
40123.13,40.12,44.5,2.0,7.0,6.0,9.0
51882.22,51.88,30.5,2.0,5.0,2.0,6.0
121355.07,121.36,49.0,2.0,15.0,0.0,3.0
116894.92,116.89,42.5,2.0,15.0,5.0,8.0
59733.86,59.73,48.5,3.0,10.0,5.0,8.0
69500.92,69.5,33.0,2.0,6.0,2.0,5.0
32550.4,32.55,70.5,2.0,11.0,4.0,7.0
56127.44,56.13,31.5,3.0,11.0,1.0,4.0
161650.96,161.65,59.5,2.0,15.0,6.0,9.0
1089355.22,1089.36,70.0,3.0,20.0,6.0,9.0
111710.07,111.71,72.5,2.0,23.0,3.0,6.0
76660.36,76.66,26.0,2.0,12.0,4.0,7.0
43357.46,43.36,46.0,2.0,14.0,6.0,9.0
164333.18,164.33,45.0,3.0,15.0,0.0,3.0
72557.7,72.56,25.0,3.0,11.0,6.0,9.0
239634.46,239.63,72.0,2.0,17.0,3.0,6.0
123048.17,123.05,33.0,3.0,12.0,5.0,8.0
351834.2,351.83,64.0,2.0,10.0,6.0,9.0
47731.94,47.73,24.5,2.0,14.0,3.0,6.0
27346.78,27.35,35.0,2.0,4.0,0.0,3.0
185487.03,185.49,58.0,4.0,5.0,5.0,8.0
35221.44,35.22,54.0,2.0,10.0,2.0,5.0
144755.6,144.76,32.0,3.0,4.0,6.0,9.0
60252.94,60.25,41.0,2.0,6.0,6.0,9.0
806676.36,806.68,26.0,2.0,25.0,1.0,4.0
34357.84,34.36,28.5,2.0,24.0,0.0,3.0
107170.61,107.17,48.0,2.0,13.0,6.0,9.0
31050.95,31.05,28.0,2.0,5.0,5.0,8.0
49414.03,49.41,55.0,2.0,22.0,3.0,6.0
329902.64,329.9,34.5,2.0,6.0,3.0,6.0
81162.08,81.16,25.5,2.0,9.0,5.0,8.0
